Country,State,Year,Total Registered Motor Vehicles (UOM:Number),Percentage Share (UOM:%(Percentage)),Vehicle Class,Category Of Vehicle,Production Of Motor Vehicles (UOM:Number),Year
India,Maharashtra,"Financial Year (Apr - Mar), 2019",37786256,11.58,Passenger Vehicles,Utility Vehicles,1182085,"Financial Year (Apr - Mar), 2020"
India,Assam,"Financial Year (Apr - Mar), 2017",3441997,1.26,Passenger Vehicles,Passenger Cars,1426212,"Financial Year (Apr - Mar), 2007"
India,Ladakh,"Financial Year (Apr - Mar), 2015",29868.91001,0.59,Two Wheelers,Scooters,7095164,"Financial Year (Apr - Mar), 2018"
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2018",11992806,4.05,Two-Wheelers,Motor Cycles,2906323,"Financial Year (Apr - Mar), 2001"
India,Maharashtra,"Financial Year (Apr - Mar), 2018",35392167,11.97,Passenger Vehicles,Multi-Utility Vehicles,127519,"Financial Year (Apr - Mar), 2000"
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2017",14569877,5.35,Two Wheelers,Motorcycles,16499424,"Financial Year (Apr - Mar), 2018"
India,Karnataka,"Financial Year (Apr - Mar), 2017",19381753,7.11,Two-Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2005"
India,Maharashtra,"Financial Year (Apr - Mar), 2016",30217111,11.93,Passenger Vehicles,Multi-Utility Vehicles,263167,"Financial Year (Apr - Mar), 2005"
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2017",1637548.689,0.61,Two-Wheelers,Scooters,937506,"Financial Year (Apr - Mar), 2001"
India,Chhattisgarh,"Financial Year (Apr - Mar), 2018",6375266,2.16,Passenger Vehicles,Passenger Cars,2711160,"Financial Year (Apr - Mar), 2018"
India,Chandigarh,"Financial Year (Apr - Mar), 2017",950788,0.35,Three Wheelers,Three Wheelers,1022181,"Financial Year (Apr - Mar), 2017"
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017",209873,0.08,Two-Wheelers,Electric Two Wheelers,0,"Financial Year (Apr - Mar), 2000"
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2016",1477798.076,0.6,Passenger Vehicles,Passenger Cars,1932620,"Financial Year (Apr - Mar), 2009"
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2017",1494857,0.55,Two Wheelers,Electric Two Wheelers,2824,"Financial Year (Apr - Mar), 2020"
India,West Bengal,"Financial Year (Apr - Mar), 2016",7445573,2.94,Quadricycle,Quadricycle,6095,"Financial Year (Apr - Mar), 2019"
India,Telangana,"Financial Year (Apr - Mar), 2019",12906426,3.96,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),384801,"Financial Year (Apr - Mar), 2011"
India,Haryana,"Financial Year (Apr - Mar), 2019",8599668,2.64,Two-Wheelers,Motor Cycles,4355168,"Financial Year (Apr - Mar), 2003"
India,Delhi,"Financial Year (Apr - Mar), 2016",10260052,4.05,Passenger Vehicles,Passenger Cars,1516967,"Financial Year (Apr - Mar), 2008"
India,Odisha,"Financial Year (Apr - Mar), 2016",6557643,2.59,Passenger Vehicles,Utility Vehicles,717809,"Financial Year (Apr - Mar), 2015"
India,Bihar,"Financial Year (Apr - Mar), 2016",6245947,2.47,Three-Wheelers,Three Wheelers,356223,"Financial Year (Apr - Mar), 2003"
India,Assam,"Financial Year (Apr - Mar), 2018",3936517,1.33,Two Wheelers,Mopeds,737886,"Financial Year (Apr - Mar), 2015"
India,Punjab,"Financial Year (Apr - Mar), 2015",9064476,3.94,Passenger Vehicles,Vans,151908,"Financial Year (Apr - Mar), 2009"
India,Rajasthan,"Financial Year (Apr - Mar), 2018",17709949,5.99,Two Wheelers,Motorcycles,15167481,"Financial Year (Apr - Mar), 2017"
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2019",230126,0.07,Two Wheelers,Motorcycles,11982669,"Financial Year (Apr - Mar), 2011"
India,Mizoram,"Financial Year (Apr - Mar), 2016",187026,0.07,Two Wheelers,Mopeds,905189,"Financial Year (Apr - Mar), 2018"
India,Haryana,"Financial Year (Apr - Mar), 2016",9370357,3.7,Passenger Vehicles,Passenger Cars,2537170,"Financial Year (Apr - Mar), 2011"
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2019",13108491,4.02,Two-Wheelers,Mopeds,379987,"Financial Year (Apr - Mar), 2006"
India,Meghalaya,"Financial Year (Apr - Mar), 2017",332626,0.12,Commercial Vehicles,Light Commercial Vehicles (LCVs),108917,"Financial Year (Apr - Mar), 2003"
India,Odisha,"Financial Year (Apr - Mar), 2018",8280877,2.8,Two-Wheelers,Electric Two Wheelers,30454,"Financial Year (Apr - Mar), 2006"
India,Goa,"Financial Year (Apr - Mar), 2015",1158241,0.5,Two Wheelers,Scooters,1074933,"Financial Year (Apr - Mar), 2007"
India,Tamil Nadu,"Financial Year (Apr - Mar), 2017",28042398,10.29,Three-Wheelers,Three Wheelers,434423,"Financial Year (Apr - Mar), 2005"
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2015",210849,0.05,Three Wheelers,Three Wheelers,611171,"Financial Year (Apr - Mar), 2020"
India,Gujarat,"Financial Year (Apr - Mar), 2018",25201085,8.52,Two-Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2003"
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",5793363,2.13,Three Wheelers,Three Wheelers,879289,"Financial Year (Apr - Mar), 2011"
India,Puducherry,"Financial Year (Apr - Mar), 2016",930332,0.37,Commercial Vehicles,LCVs (Light Commercial Vehicles),317423,"Financial Year (Apr - Mar), 2009"
India,Lakshadweep,"Financial Year (Apr - Mar), 2018",18087,0.01,Passenger Vehicles,Multi-Utility Vehicles,307202,"Financial Year (Apr - Mar), 2006"
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2016",13198872,5.21,Three-Wheelers,Three Wheelers,374445,"Financial Year (Apr - Mar), 2004"
India,Bihar,"Financial Year (Apr - Mar), 2017",7364022,2.7,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),221556,"Financial Year (Apr - Mar), 2013"
India,Nagaland,"Financial Year (Apr - Mar), 2017",449202,0.16,Passenger Vehicles,Utility Vehicles,568692,"Financial Year (Apr - Mar), 2013"
India,Delhi,"Financial Year (Apr - Mar), 2018",11391551,3.85,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),342761,"Financial Year (Apr - Mar), 2016"
India,Tamil Nadu,"Financial Year (Apr - Mar), 2015",24203348,10.52,Two Wheelers,Mopeds,791954,"Financial Year (Apr - Mar), 2012"
India,West Bengal,"Financial Year (Apr - Mar), 2018",7445573,2.52,Passenger Vehicles,Utility Vehicles,1136209,"Financial Year (Apr - Mar), 2019"
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2015",1175510,0.51,Passenger Vehicles,Multi-Utility Vehicles,169418,"Financial Year (Apr - Mar), 2001"
India,Meghalaya,"Financial Year (Apr - Mar), 2018",365804,0.12,Two-Wheelers,Mopeds,379994,"Financial Year (Apr - Mar), 2005"
India,Tripura,"Financial Year (Apr - Mar), 2019",551097,0.17,Quadricycle,Quadricycle,,"Financial Year (Apr - Mar), 2015"
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2016",179869,0.07,Commercial Vehicles,Light Commercial Vehicles (LCVs),138896,"Financial Year (Apr - Mar), 2004"
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2015",11141041,4.84,Two Wheelers,Mopeds,732210,"Financial Year (Apr - Mar), 2013"
India,Sikkim,"Financial Year (Apr - Mar), 2016",54106,0.02,Two Wheelers,Motorcycles,6798118,"Financial Year (Apr - Mar), 2008"
India,Mizoram,"Financial Year (Apr - Mar), 2017",207879,0.08,Passenger Vehicles,Cars,960487,"Financial Year (Apr - Mar), 2004"
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2018",230156,0.08,Two Wheelers,Motorcycles,6503532,"Financial Year (Apr - Mar), 2007"
India,Gujarat,"Financial Year (Apr - Mar), 2015",20361296,8.85,Two Wheelers,Mopeds,785523,"Financial Year (Apr - Mar), 2011"
India,Assam,"Financial Year (Apr - Mar), 2019",4358529,1.34,Passenger Vehicles,Utility Vehicles,246038,"Financial Year (Apr - Mar), 2007"
India,Mizoram,"Financial Year (Apr - Mar), 2015",171291,0.07,Two-Wheelers,Mopeds,694974,"Financial Year (Apr - Mar), 2000"
India,Puducherry,"Financial Year (Apr - Mar), 2017",997861,0.37,Passenger Vehicles,Vans,180263,"Financial Year (Apr - Mar), 2017"
India,Madhya Pradesh,"Financial Year (Apr - Mar), 2018",15296374,5.17,Quadricycle,Quadricycle,,"Financial Year (Apr - Mar), 2008"
India,Uttarakhand,"Financial Year (Apr - Mar), 2015",1888220,0.82,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),250133,"Financial Year (Apr - Mar), 2009"
India,Sikkim,"Financial Year (Apr - Mar), 2015",49005,0.02,Quadricycle,Quadricycle,1713,"Financial Year (Apr - Mar), 2017"
India,Nagaland,"Financial Year (Apr - Mar), 2019",520293,0.16,Passenger Vehicles,Utility Vehicles,1093346,"Financial Year (Apr - Mar), 2017"
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2015",1335683.09,0.59,Two Wheelers,Scooters,4721415,"Financial Year (Apr - Mar), 2014"
India,Goa,"Financial Year (Apr - Mar), 2016",1238644,0.49,Three Wheelers,Three Wheelers,500660,"Financial Year (Apr - Mar), 2007"
India,The Dadra And Nagar Haveli And Daman And Diu,"Financial Year (Apr - Mar), 2019",268792,0.04,Two Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2014"
India,Maharashtra,"Financial Year (Apr - Mar), 2015",27869866,12.12,Passenger Vehicles,Vans,105333,"Financial Year (Apr - Mar), 2007"
India,Karnataka,"Financial Year (Apr - Mar), 2015",16291765,7.08,Two Wheelers,Motorcycles,11904212,"Financial Year (Apr - Mar), 2012"
India,Uttarakhand,"Financial Year (Apr - Mar), 2017",2480440,0.91,Passenger Vehicles,Vans,217531,"Financial Year (Apr - Mar), 2018"
India,Telangana,"Financial Year (Apr - Mar), 2015",8709189,3.79,Two Wheelers,Scooters,1161276,"Financial Year (Apr - Mar), 2008"
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2016",1355812,0.54,Passenger Vehicles,Vans,102128,"Financial Year (Apr - Mar), 2008"
India,Delhi,"Financial Year (Apr - Mar), 2017",10686379,3.92,Passenger Vehicles,Multi-Utility Vehicles,206998,"Financial Year (Apr - Mar), 2003"
India,Assam,"Financial Year (Apr - Mar), 2015",2817390,1.22,Two Wheelers,Scooters,2659340,"Financial Year (Apr - Mar), 2011"
India,Uttar Pradesh,"Financial Year (Apr - Mar), 2017",29394816,10.78,Passenger Vehicles,Cars,782562,"Financial Year (Apr - Mar), 2003"
India,Delhi,"Financial Year (Apr - Mar), 2019",11892877,3.64,Two Wheelers,Scooters,3676213,"Financial Year (Apr - Mar), 2013"
India,Tripura,"Financial Year (Apr - Mar), 2018",495859,0.17,Commercial Vehicles,LCVs (Light Commercial Vehicles),467492,"Financial Year (Apr - Mar), 2016"
India,Gujarat,"Financial Year (Apr - Mar), 2017",23820816,8.74,Two Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2013"
India,Bihar,"Financial Year (Apr - Mar), 2018",8553183,2.89,Two Wheelers,Mopeds,571070,"Financial Year (Apr - Mar), 2009"
India,Mizoram,"Financial Year (Apr - Mar), 2019",267350,0.08,Passenger Vehicles,Passenger Cars (includes Vans),1046133,"Financial Year (Apr - Mar), 2005"
India,Punjab,"Financial Year (Apr - Mar), 2018",10559435,3.57,Three Wheelers,Three Wheelers,830108,"Financial Year (Apr - Mar), 2013"
India,Goa,"Financial Year (Apr - Mar), 2018",1402051,0.47,Passenger Vehicles,Cars,513415,"Financial Year (Apr - Mar), 2000"
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2019",1924472.422,0.6,Passenger Vehicles,Vans,131487,"Financial Year (Apr - Mar), 2019"
India,Kerala,"Financial Year (Apr - Mar), 2019",14184184,4.35,Passenger Vehicles,Passenger Cars,2746658,"Financial Year (Apr - Mar), 2017"
India,Karnataka,"Financial Year (Apr - Mar), 2019",26117614,8,Two Wheelers,Scooters,5276138,"Financial Year (Apr - Mar), 2015"
India,Punjab,"Financial Year (Apr - Mar), 2017",9680976,3.55,Two-Wheelers,Scooters,935279,"Financial Year (Apr - Mar), 2003"
India,Tripura,"Financial Year (Apr - Mar), 2016",382687,0.15,Two Wheelers,Scooters,2144765,"Financial Year (Apr - Mar), 2010"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2015",111129,0.05,Three Wheelers,Three Wheelers,949021,"Financial Year (Apr - Mar), 2014"
India,Ladakh,"Financial Year (Apr - Mar), 2017",36619.31097,0.61,Two-Wheelers,Scooters,879759,"Financial Year (Apr - Mar), 2000"
India,Mizoram,"Financial Year (Apr - Mar), 2018",233567,0.08,Two Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2017"
India,Delhi,"Financial Year (Apr - Mar), 2015",9704741,4.22,Two Wheelers,Scooters,6026741,"Financial Year (Apr - Mar), 2019"
,,,,,Quadricycle,Quadricycle,,"Financial Year (Apr - Mar), 2011"
,,,,,Commercial Vehicles,Light Commercial Vehicles (LCVs),254049,"Financial Year (Apr - Mar), 2007"
,,,,,Two-Wheelers,Motor Cycles,5193894,"Financial Year (Apr - Mar), 2004"
,,,,,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),344592,"Financial Year (Apr - Mar), 2017"
,,,,,Three-Wheelers,Three Wheelers,212748,"Financial Year (Apr - Mar), 2001"
,,,,,Two-Wheelers,Scooters,1021013,"Financial Year (Apr - Mar), 2005"
,,,,,Passenger Vehicles,Passenger Cars (includes Vans),1238021,"Financial Year (Apr - Mar), 2006"
,,,,,Passenger Vehicles,Passenger Cars,1772972,"Financial Year (Apr - Mar), 2020"
,,,,,Commercial Vehicles,LCVs (Light Commercial Vehicles),544335,"Financial Year (Apr - Mar), 2011"
,,,,,Two-Wheelers,Motor Cycles,6207690,"Financial Year (Apr - Mar), 2005"
,,,,,Commercial Vehicles,LCVs (Light Commercial Vehicles),443697,"Financial Year (Apr - Mar), 2020"
,,,,,Commercial Vehicles,M & HCVs (Medium & Heavy Commercial Vehicles),444356,"Financial Year (Apr - Mar), 2018"
,,,,,Quadricycle,Quadricycle,3836,"Financial Year (Apr - Mar), 2020"
,,,,,Passenger Vehicles,Utility Vehicles,564928,"Financial Year (Apr - Mar), 2012"
,,,,,Two-Wheelers,Electric Two Wheelers,0,"Financial Year (Apr - Mar), 2001"
,,,,,Two Wheelers,Mopeds,636218,"Financial Year (Apr - Mar), 2020"
,,,,,Passenger Vehicles,Multi-Utility Vehicles,249389,"Financial Year (Apr - Mar), 2004"
,,,,,Two Wheelers,Motorcycles,12816203,"Financial Year (Apr - Mar), 2015"
,,,,,Commercial Vehicles,Medium & Heavy Commercial Vehicles (M & HCVs),214807,"Financial Year (Apr - Mar), 2004"
,,,,,Passenger Vehicles,Vans,174055,"Financial Year (Apr - Mar), 2014"
,,,,,Two Wheelers,Motorcycles,13154501,"Financial Year (Apr - Mar), 2020"
,,,,,Passenger Vehicles,Utility Vehicles,1099780,"Financial Year (Apr - Mar), 2018"
,,,,,Two Wheelers,Motorcycles,14356051,"Financial Year (Apr - Mar), 2019"
,,,,,Passenger Vehicles,Vans,237954,"Financial Year (Apr - Mar), 2011"
,,,,,Quadricycle,Quadricycle,,"Financial Year (Apr - Mar), 2007"
,,,,,Commercial Vehicles,LCVs (Light Commercial Vehicles),524311,"Financial Year (Apr - Mar), 2019"
,,,,,Two Wheelers,Electric Two Wheelers,,"Financial Year (Apr - Mar), 2018"
